country,location,loc_code,lat,lon,cycle,SowingDateQC,Days_To_Heading,Days_To_Maturity,ObsYield,UID,Heading_date,Maturity_date,Date@35DAS,DayLength@35DAS,Obs_DaysHM
Mexico,Obregon,MXH1,27.395,-109.93,2017,2017-03-07,54,86,2.266,37,2017-04-30,2017-06-01,2017-04-11,12.558393539973482,32
Mexico,Obregon,MXH3,27.395,-109.93,2017,2017-03-08,53,81,1.505,38,2017-04-30,2017-05-28,2017-04-12,12.584439030888488,28
Mexico,Obregon,MXYP2,27.395,-109.93,2019,2018-12-05,77,123,5.096,39,2019-02-20,2019-04-07,2019-01-09,10.370480906432489,46
Mexico,Obregon,MXYP4,27.395,-109.93,2019,2018-12-03,77,126,5.523,40,2019-02-18,2019-04-08,2019-01-07,10.349128737779411,49
Iran,Karaj,SPII,35.833,50.967,2017,2016-11-09,165,220,6.878,41,2017-04-23,2017-06-17,2016-12-14,9.592471102975896,55
India,Ludhiana,LDH-LS,30.991,75.736,2017,2017-01-06,77,108,2.71,42,2017-03-24,2017-04-24,2017-02-10,10.799034779605265,31
India,Ludhiana,LDH-LS,30.991,75.736,2019,2018-12-19,95,127,3.454,43,2019-03-24,2019-04-25,2019-01-23,10.350353338548267,32
India,Ludhiana,LDH-LS,30.991,75.736,2021,2020-12-18,86,121,4.711,44,2021-03-14,2021-04-18,2021-01-22,10.329316990383326,35
India,Pusa,PUS-LS,25.958,85.67,2017,2016-12-15,79,98,2.556,45,2017-03-04,2017-03-23,2017-01-19,10.601405484771695,19
India,Pusa,PUS-LS,25.958,85.67,2018,2017-12-31,70,90,1.445,46,2018-03-11,2018-03-31,2018-02-04,10.897147889199358,20
India,Pusa,PUS-LS,25.958,85.67,2019,2018-12-26,72,107,3.104,47,2019-03-08,2019-04-12,2019-01-30,10.7953668398586,35
India,Ludhiana,LDH-NS,30.991,75.736,2022,2021-11-13,106,141,6.094,48,2022-02-27,2022-04-03,2021-12-18,9.99409525195235,35
India,Ludhiana,LDH-LS,30.991,75.736,2022,2021-12-14,91,120,4.771,49,2022-03-15,2022-04-13,2022-01-18,10.250313591494418,29
